year month day hour precipitation[mm] temperature[degC]
0 0 0 0 0 0.534247
0 0 0 1 0 -0.896021
0 0 0 2 0 -1.79512
0 0 0 3 0 -2.10179
0 0 0 4 0 -1.79512
0 0 0 5 0 -0.896021
0 0 0 6 0 0.534247
0 0 0 7 0 2.39821
0 0 0 8 0 4.56884
0 0 0 9 0 6.89821
0 0 0 10 0 9.22758
0 0 0 11 0 11.3982
0 0 0 12 0 13.2622
0 0 0 13 0 14.6924
0 0 0 14 0 15.5915
0 0 0 15 0 15.8982
0 0 0 16 0 15.5915
0 0 0 17 0 14.6924
0 0 0 18 0 13.2622
0 0 0 19 0 11.3982
0 0 0 20 0 9.22758
0 0 0 21 0 6.89821
0 0 0 22 0 4.56884
0 0 0 23 0 2.39821
0 0 1 0 0 0.562131
0 0 1 1 0 -0.868136
0 0 1 2 0 -1.76724
0 0 1 3 0 -2.07391
0 0 1 4 0 -1.76724
0 0 1 5 0 -0.868136
0 0 1 6 0 0.562131
0 0 1 7 0 2.42609
0 0 1 8 0 4.59672
0 0 1 9 0 6.92609
0 0 1 10 0 9.25546
0 0 1 11 0 11.4261
0 0 1 12 0 13.2901
0 0 1 13 0 14.7203
0 0 1 14 0 15.6194
0 0 1 15 0 15.9261
0 0 1 16 0 15.6194
0 0 1 17 0 14.7203
0 0 1 18 0 13.2901
0 0 1 19 0 11.4261
0 0 1 20 0 9.25546
0 0 1 21 0 6.92609
0 0 1 22 0 4.59672
0 0 1 23 0 2.42609
0 0 2 0 0 0.593475
0 0 2 1 0 -0.836792
0 0 2 2 0 -1.7359
0 0 2 3 0 -2.04256
0 0 2 4 0 -1.7359
0 0 2 5 0 -0.836792
0 0 2 6 0 0.593475
0 0 2 7 0 2.45744
0 0 2 8 0 4.62806
0 0 2 9 0 6.95744
0 0 2 10 0 9.28681
0 0 2 11 0 11.4574
0 0 2 12 0 13.3214
0 0 2 13 0 14.7517
0 0 2 14 0 15.6508
0 0 2 15 0 15.9574
0 0 2 16 0 15.6508
0 0 2 17 0 14.7517
0 0 2 18 0 13.3214
0 0 2 19 0 11.4574
0 0 2 20 0 9.28681
0 0 2 21 0 6.95744
0 0 2 22 0 4.62806
0 0 2 23 0 2.45744
0 0 3 0 0 0.628269
0 0 3 1 0 -0.801998
0 0 3 2 0 -1.7011
0 0 3 3 0 -2.00777
0 0 3 4 0 -1.7011
0 0 3 5 0 -0.801998
0 0 3 6 0 0.628269
0 0 3 7 0 2.49223
0 0 3 8 0 4.66286
0 0 3 9 0 6.99223
0 0 3 10 0 9.3216
0 0 3 11 0 11.4922
0 0 3 12 0 13.3562
0 0 3 13 0 14.7865
0 0 3 14 0 15.6856
0 0 3 15 0 15.9922
0 0 3 16 0 15.6856
0 0 3 17 0 14.7865
0 0 3 18 0 13.3562
0 0 3 19 0 11.4922
0 0 3 20 0 9.3216
