Y	M	D	H	Rain	Temp
0	0	0	0	0	11.55
0	0	0	1	0	10.35
0	0	0	2	0	9.1
0	0	0	3	0	8.2
0	0	0	4	0	7.35
0	0	0	5	0	6.85
0	0	0	6	0	5.6
0	0	0	7	0	7.2
0	0	0	8	0	11.05
0	0	0	9	0	17.6
0	0	0	10	0	22.4
0	0	0	11	0	25.15
0	0	0	12	0	25.9
0	0	0	13	0	27.35
0	0	0	14	0	28.05
0	0	0	15	0	28.8
0	0	0	16	0	27.9
0	0	0	17	0	24.6
0	0	0	18	0	15.95
0	0	0	19	0	10.85
0	0	0	20	0	12.3
0	0	0	21	0	11.8
0	0	0	22	0	9.35
0	0	0	23	0	9.75
0	0	1	0	0	7.15
0	0	1	1	0	5.55
0	0	1	2	0	6.65
0	0	1	3	0	1.55
0	0	1	4	0	2.25
0	0	1	5	0	8.45
0	0	1	6	0	8.95
0	0	1	7	0	11.3
0	0	1	8	0	15.1
0	0	1	9	0	16.35
0	0	1	10	0	18.4
0	0	1	11	0	20.55
0	0	1	12	0	21.85
0	0	1	13	0	23.4
0	0	1	14	0	24.8
0	0	1	15	0	24.95
0	0	1	16	0	24.05
0	0	1	17	0	21.6
0	0	1	18	0	14.65
0	0	1	19	0	10.3
0	0	1	20	0	8.3
0	0	1	21	0	7
0	0	1	22	0	7.15
0	0	1	23	0	5.4
0	0	2	0	0	3.7
0	0	2	1	0	2.25
0	0	2	2	0	1.55
0	0	2	3	0	4.85
0	0	2	4	0	9.15
0	0	2	5	0	4.7
0	0	2	6	0	-0.05
0	0	2	7	0	7.85
0	0	2	8	0	14.35
0	0	2	9	0	16.85
0	0	2	10	0	19.2
0	0	2	11	0	20.25
0	0	2	12	0	21.5
0	0	2	13	0	22.85
0	0	2	14	0	23.95
0	0	2	15	0	24.35
0	0	2	16	0	23.8
0	0	2	17	0	21.4
0	0	2	18	0	13.95
0	0	2	19	0	8.6
0	0	2	20	0	6.65
0	0	2	21	0	8.3
0	0	2	22	0	6.5
0	0	2	23	0	5.55
0	0	3	0	0	5.2
0	0	3	1	0	4
0	0	3	2	0	2.9
0	0	3	3	0	2.45
0	0	3	4	0	2.55
0	0	3	5	0	2.7
0	0	3	6	0	1.75
0	0	3	7	0	5.7
0	0	3	8	0	18.45
0	0	3	9	0	20.25
0	0	3	10	0	22
0	0	3	11	0	23.65
0	0	3	12	0	25.6
0	0	3	13	0	26.5
0	0	3	14	0	26.45
0	0	3	15	0	26.5
0	0	3	16	0	26
0	0	3	17	0	23.55
0	0	3	18	0	16
0	0	3	19	0	12.2
0	0	3	20	0	10.65
0	0	3	21	0	10.7
0	0	3	22	0	11
0	0	3	23	0	9.7
0	0	4	0	0	10.5
0	0	4	1	0	8.7
0	0	4	2	0	9
0	0	4	3	0	9.25
0	0	4	4	0	8
0	0	4	5	0	5.25
0	0	4	6	0	4.2
0	0	4	7	0	7.95
0	0	4	8	0	17.25
0	0	4	9	0	22.4
0	0	4	10	0	24.1
0	0	4	11	0	26.25
0	0	4	12	0	27.4
0	0	4	13	0	28
0	0	4	14	0	28.1
0	0	4	15	0	28
0	0	4	16	0	27.45
0	0	4	17	0	24.95
0	0	4	18	0	17.1
0	0	4	19	0	12.3
0	0	4	20	0	10.5
0	0	4	21	0	9
0	0	4	22	0	8.1
0	0	4	23	0	7.75
0	0	5	0	0	7.5
0	0	5	1	0	8.6
0	0	5	2	0	7.05
0	0	5	3	0	5.95
0	0	5	4	0	4.75
0	0	5	5	0	4.8
0	0	5	6	0	3.5
0	0	5	7	0	7.5
0	0	5	8	0	18.8
0	0	5	9	0	20.95
0	0	5	10	0	23.3
0	0	5	11	0	25.8
0	0	5	12	0	27.1
0	0	5	13	0	27.95
0	0	5	14	0	28.1
0	0	5	15	0	28.15
0	0	5	16	0	27.2
0	0	5	17	0	24.7
0	0	5	18	0	16.65
0	0	5	19	0	13.1
0	0	5	20	0	11.25
0	0	5	21	0	10.15
0	0	5	22	0	9
0	0	5	23	0	9.3
0	0	6	0	0	9.9
0	0	6	1	0	8.8
0	0	6	2	0	6.8
0	0	6	3	0	6.65
0	0	6	4	0	7.5
0	0	6	5	0	6.45
0	0	6	6	0	4
0	0	6	7	0	7.7
0	0	6	8	0	18.5
0	0	6	9	0	22.5
0	0	6	10	0	24.2
0	0	6	11	0	26.15
0	0	6	12	0	27.3
0	0	6	13	0	27.65
0	0	6	14	0	28.65
0	0	6	15	0	28.55
0	0	6	16	0	27.7
0	0	6	17	0	24.95
0	0	6	18	0	16.9
0	0	6	19	0	13.1
0	0	6	20	0	12.3
0	0	6	21	0	11.4
0	0	6	22	0	10.3
0	0	6	23	0	9.95
0	0	7	0	0	9.45
0	0	7	1	0	8.3
0	0	7	2	0	9.95
0	0	7	3	0	8.3
0	0	7	4	0	6.75
0	0	7	5	0	5.45
0	0	7	6	0	4.6
0	0	7	7	0	8.75
0	0	7	8	0	18.25
0	0	7	9	0	23.55
0	0	7	10	0	24.9
0	0	7	11	0	26.25
0	0	7	12	0	27.95
0	0	7	13	0	28.8
0	0	7	14	0	29.2
0	0	7	15	0	29.35
0	0	7	16	0	28.35
0	0	7	17	0	25.8
0	0	7	18	0	17.25
0	0	7	19	0	12.3
0	0	7	20	0	10.25
0	0	7	21	0	9.55
0	0	7	22	0	8.6
0	0	7	23	0	6.7
0	0	8	0	0	4.85
0	0	8	1	0	3.65
0	0	8	2	0	2.8
0	0	8	3	0	3.15
0	0	8	4	0	12.65
0	0	8	5	0	9.5
0	0	8	6	0	2.2
0	0	8	7	0	5.6
0	0	8	8	0	18.15
0	0	8	9	0	20.95
0	0	8	10	0	23.25
0	0	8	11	0	24.5
0	0	8	12	0	25.15
0	0	8	13	0	25.95
0	0	8	14	0	26.85
0	0	8	15	0	27.65
0	0	8	16	0	26.65
0	0	8	17	0	24.15
0	0	8	18	0	16.5
0	0	8	19	0	11.55
0	0	8	20	0	10.35
0	0	8	21	0	9
0	0	8	22	0	8.15
0	0	8	23	0	7.05
0	0	9	0	0	6.1
0	0	9	1	0	5.1
0	0	9	2	0	3.45
